woord,frequency
the,517
and,459
to,295
of,281
you,281
dionysus,276
i,259
a,197
,151
xanthias,135
for,133
in,132
that,128
but,121
this,120
he,108
euripides,105
me,100
it,99
aeschylus,94
what,87
my,87
with,85
by,81
is,80
so,79
not,79
his,79
now,78
on,70
your,70
if,68
be,66
will,61
then,58
aeacus,54
do,54
well,53
heracles,53
who,53
no,53
one,52
at,51
him,51
all,50
as,49
come,48
from,47
chorus,47
up,47
have,46
here,44
was,44
just,44
how,43
or,41
go,41
dont,38
say,38
we,37
take,37
are,34
did,34
when,34
our,34
ill,32
out,32
like,30
they,29
where,29
them,29
its,27
down,27
zeus,26
koax,26
again,26
has,26
first,26
oh,25
their,25
see,25
get,24
these,24
since,24
which,24
man,24
right,24
why,24
too,23
good,23
tell,22
o,22
god,22
thats,21
speak,21
there,21
some,21
youll,21
im,20
can,20
let,20
us,20
more,20
flask,20
got,19
charon,19
before,19
youre,19
didnt,19
away,19
should,19
an,19
thing,19
little,19
other,18
hear,18
would,18
off,18
she,17
think,17
bring,17
know,17
never,17
dance,16
two,16
even,16
really,15
hell,15
once,15
her,15
gods,15
great,14
about,14
oil,14
men,14
may,14
most,14
could,14
yes,13
ever,13
fellow,13
make,13
word,12
much,12
songs,12
because,12
noble,12
than,12
words,12
else,12
son,12
iacchus,12
stop,12
were,11
another,11
time,11
does,11
someone,11
into,11
going,11
art,11
am,11
city,11
back,11
pandokeutria,11
myself,11
sit,11
way,11
put,11
wont,11
whats,11
brekekekex,10
sure,10
ive,10
done,10
master,10
himself,10
pluto,10
woman,10
plathane,10
only,10
long,10
cant,10
hes,10
must,10
look,10
prologues,9
doing,9
yourself,9
doesnt,9
song,9
want,9
something,9
land,9
mind,9
after,9
fine,9
poet,9
those,9
apollo,9
ones,9
any,9
over,9
had,9
nothing,9
made,9
lost,9
whom,9
frogs,9
slave,9
each,9
youve,9
dead,8
best,8
hand,8
goddess,8
demeter,8
very,8
ah,8
things,8
nor,8
clever,8
said,8
both,8
came,8
anything,8
id,8
same,8
citizens,8
people,8
sacred,8
tragedy,8
around,8
many,8
poets,8
hold,8
swear,8
own,8
state,7
yet,7
find,7
pay,7
test,7
beat,7
recite,7
against,7
sir,7
mean,7
corpse,7
fathers,7
advice,7
took,7
heart,7
place,7
wish,7
bad,7
door,7
please,7
boy,7
carry,7
crash,7
love,7
day,7
whos,7
save,7
dances,6
choose,6
guy,6
awful,6
such,6
lets,6
call,6
been,6
while,6
least,6
fair,6
phrases,6
old,6
case,6
hit,6
side,6
inside,6
hed,6
hermes,6
through,6
still,6
show,6
wretch,6
dancing,6
quick,6
judge,6
clear,6
hands,6
theres,6
death,6
holy,6
seems,6
used,6
anyone,6
might,6
poseidon,6
wouldnt,6
eyes,6
without,6
sing,6
try,6
yours,5
surely,5
torch,5
return,5
face,5
thought,5
takes,5
light,5
foot,5
run,5
muses,5
feel,5
wretched,5
use,5
pull,5
ships,5
always,5
porter,5
row,5
onward,5
friends,5
audience,5
enter,5
turn,5
hey,5
race,5
being,5
big,5
theyre,5
taught,5
help,5
aside,5
give,5
hurry,5
teach,5
start,5
left,5
sophocles,5
shall,5
sea,5
aid,5
strife,5
fight,5
grant,5
opinion,5
ran,5
quite,5
saying,5
every,5
stuff,5
also,5
terms,5
lion,5
lyre,5
quiet,5
father,5
getting,5
tongue,5
whatever,4
wool,4
need,4
keep,4
went,4
rites,4
three,4
everything,4
child,4
wait,4
catch,4
single,4
prove,4
alas,4
soon,4
sort,4
wheres,4
near,4
sense,4
isnt,4
hard,4
says,4
notice,4
lake,4
send,4
girls,4
twice,4
blessed,4
whole,4
ask,4
skin,4
high,4
soup,4
laugh,4
wits,4
stand,4
warn,4
poor,4
thousand,4
mine,4
ways,4
joke,4
knock,4
under,4
ye,4
saw,4
sake,4
contest,4
servant,4
heres,4
behind,4
achilles,4
torches,4
folks,4
throne,4
everywhere,4
tophlattothrattophlattothrat,4
bear,4
club,4
mistakes,4
obols,4
oar,4
play,4
battle,4
new,4
listen,4
claim,4
boat,4
die,4
hurt,4
baggage,4
sails,4
fought,4
villain,4
donkey,4
lead,4
babbling,4
act,4
join,4
board,4
full,4
coward,4
top,4
meet,4
course,4
maybe,4
easy,4
besides,4
girl,3
rite,3
fun,3
coming,3
idea,3
mighty,3
superior,3
better,3
night,3
lover,3
teeth,3
temper,3
lines,3
whichever,3
guess,3
except,3
weight,3
knows,3
already,3
twist,3
storm,3
verse,3
dressed,3
grab,3
arms,3
troubles,3
life,3
phrase,3
makes,3
consider,3
means,3
whatd,3
pass,3
feast,3
terrible,3
saved,3
unless,3
ten,3
masters,3
children,3
muse,3
fooling,3
theramenes,3
mentioned,3
ancestral,3
themselves,3
sons,3
offer,3
whoever,3
glance,3
brother,3
pack,3
partner,3
rear,3
arrived,3
nonsense,3
weve,3
cephisophon,3
lest,3
preserve,3
pray,3
mortal,3
far,3
head,3
power,3
crack,3
happened,3
next,3
suffer,3
chair,3
enjoy,3
fire,3
woes,3
line,3
watch,3
wit,3
finest,3
useful,3
criticize,3
creative,3
crazy,3
private,3
drink,3
spectators,3
either,3
bother,3
bite,3
business,3
vinegar,3
learn,3
utterances,3
starting,3
pot,3
fear,3
sweet,3
serious,3
torture,3
front,3
wasnt,3
trouble,3
understand,3
cast,3
quickly,3
festival,3
upon,3
set,3
funny,3
hemlock,3
lord,3
ho,3
feet,3
mysteries,3
fooled,3
lose,3
tie,3
lay,3
wild,3
airs,3
home,3
kind,3
war,3
cry,3
jokes,3
boys,3
beg,3
alive,3
taking,3
hall,3
anger,3
true,3
l,3
giving,3
sitting,3
verses,3
cleisthenes,3
making,3
enough,3
swollen,3
lyrics,3
follow,3
proper,3
blow,3
rags,3
poetry,3
savior,3
pick,3
meadow,3
hang,3
times,3
prayer,3
answer,3
melodies,3
honorable,3
subterranean,3
dare,3
stretch,3
scales,3
cleophon,3
hows,3
less,3
equal,3
nobly,3
change,3
persuasion,3
loves,2
continue,2
straightway,2
shed,2
manly,2
niobe,2
forward,2
caught,2
worthy,2
winged,2
road,2
whacked,2
observe,2
meadows,2
worst,2
marches,2
sword,2
harvest,2
able,2
mans,2
blest,2
manner,2
reason,2
cheery,2
tears,2
foolish,2
theyll,2
myrtle,2
bird,2
certain,2
dog,2
minted,2
hymn,2
farewell,2
hide,2
apart,2
mark,2
tragic,2
immediately,2
present,2
thus,2
realms,2
work,2
bake,2
everflowing,2
democratic,2
deal,2
repeat,2
airy,2
drinking,2
teaching,2
wahoo,2
lungs,2
hundred,2
homer,2
utter,2
revenue,2
hates,2
happy,2
goes,2
happen,2
towards,2
win,2
mother,2
chatter,2
annoying,2
load,2
robe,2
sophisticated,2
