woord,frequency
the,845
to,431
you,404
of,373
i,360
and,355
a,225
is,210
my,206
in,205
creusa,200
ion,200
your,168
for,154
he,142
not,142
that,136
it,129
have,125
me,125
from,123
what,122
with,120
this,109
but,106
are,98
will,96
be,92
who,88
do,82
one,74
was,71
by,71
god,70
if,69
tutor,69
she,69
as,66
his,64
xuthus,61
her,60
him,60
when,59
am,57
child,56
at,56
,53
or,53
mother,52
has,52
son,52
chorus,52
how,50
did,50
on,49
house,46
so,46
may,46
father,45
phoebus,44
no,43
where,42
come,42
we,41
were,41
now,40
an,40
o,39
out,39
then,38
would,37
there,36
gods,36
go,34
temple,34
know,33
which,33
see,32
here,32
before,30
they,29
shall,29
leader,29
kill,29
these,28
children,26
good,26
had,25
land,24
up,24
into,24
give,23
say,23
shrine,23
priestess,22
them,22
about,21
born,21
zeus,20
name,20
apollo,20
die,20
brought,19
husband,19
let,19
birth,19
city,18
life,18
does,18
fortune,18
all,18
unhappy,18
some,17
their,17
oracle,17
gave,17
erechtheus,17
those,17
must,17
lady,17
speak,16
came,16
over,16
whom,16
old,16
take,16
loxias,16
sung,16
daughter,15
stranger,15
other,15
time,15
woman,15
mistress,15
silent,15
man,15
dear,15
should,15
found,14
holy,14
athena,14
childless,14
athens,14
bring,14
arms,14
well,14
earth,14
us,14
altar,14
boy,14
things,14
might,14
against,14
first,14
words,14
than,14
ah,14
golden,13
keep,13
home,13
find,13
long,13
wish,13
nor,13
said,13
hear,13
another,12
yes,12
death,12
forth,12
men,12
why,12
bore,12
since,12
exposed,12
also,12
mortals,12
friends,12
secret,12
tell,11
pleasure,11
new,11
around,11
delphi,11
right,11
mind,11
pallas,11
never,11
fortunate,10
leave,10
left,10
been,10
alas,10
could,10
while,10
without,10
two,10
want,10
sacred,10
birds,10
way,10
once,10
away,10
own,10
called,10
being,10
longer,10
noble,10
cast,9
live,9
only,9
fate,9
feast,9
our,9
more,9
after,9
day,9
both,9
cave,9
full,9
given,9
fear,9
look,9
sun,8
leto,8
yours,8
ancient,8
sacrifice,8
tent,8
tears,8
hands,8
work,8
secretly,8
goddess,8
took,8
misfortune,8
saying,8
most,8
even,8
wrong,8
hold,8
laurel,8
race,8
women,8
eyes,8
though,8
received,8
union,8
someone,7
gold,7
master,7
present,7
breast,7
yet,7
already,7
set,7
can,7
infant,7
attendant,7
gone,7
honor,7
because,7
hand,7
apollos,7
suffered,7
beside,7
cradle,7
alone,7
youth,7
pain,7
mortal,7
rock,7
fathers,7
ask,7
put,7
rest,7
place,7
tripod,7
either,6
unfortunate,6
dead,6
heaven,6
girl,6
public,6
learn,6
conceal,6
gorgon,6
clear,6
under,6
eager,6
labor,6
drops,6
cup,6
any,6
oh,6
light,6
nothing,6
call,6
hidden,6
thought,6
cannot,6
common,6
body,6
like,6
garlands,6
enters,6
bacchus,6
near,6
heard,6
think,6
oracular,6
night,6
among,6
bed,6
poison,6
something,6
making,6
going,6
rocks,6
always,6
slave,6
wife,6
hate,6
absent,6
back,6
share,6
seen,6
turn,6
above,6
its,6
lovely,6
oracles,6
blood,6
married,6
stars,5
tried,5
mothers,5
worthy,5
dearest,5
ones,5
ills,5
serpents,5
such,5
vessel,5
hide,5
hellas,5
daughters,5
willing,5
middle,5
strange,5
made,5
throne,5
indeed,5
happy,5
down,5
troubles,5
much,5
whose,5
delphian,5
battle,5
done,5
together,5
evil,5
alive,5
servant,5
wealth,5
story,5
upon,5
sky,5
ashamed,5
although,5
pythian,5
loom,5
banquet,5
slaves,5
chariot,5
escape,5
plots,5
hermes,5
gift,5
else,5
blessed,5
asking,5
water,5
blame,5
whole,5
joy,5
perhaps,5
robe,5
enter,5
sake,5
harm,5
enemies,5
rule,5
many,5
killed,5
wicked,5
famous,5
mine,4
strength,4
help,4
dances,4
sanctuary,4
servants,4
part,4
rightly,4
joined,4
saw,4
rape,4
destroyed,4
went,4
wine,4
sorrow,4
bear,4
touch,4
everything,4
bow,4
knew,4
care,4
draw,4
goes,4
lord,4
babyclothes,4
strangers,4
wild,4
paean,4
deprived,4
coming,4
welcome,4
newborn,4
enemy,4
spoken,4
cease,4
foot,4
end,4
others,4
face,4
war,4
bad,4
same,4
king,4
law,4
off,4
seat,4
masters,4
feel,4
former,4
baby,4
giants,4
remain,4
dreadful,4
daring,4
guests,4
people,4
hollow,4
thing,4
ever,4
pity,4
suffer,4
speaking,4
sons,4
sit,4
neither,4
delight,4
seek,4
silence,4
athenian,4
slaughter,4
power,4
rays,4
died,4
comes,4
shame,4
rather,4
sweet,4
erichthonius,4
praise,4
through,4
dared,4
far,4
met,4
country,4
murder,4
citizen,4
gives,4
favor,4
spear,4
native,4
bright,4
just,4
pour,4
ground,4
receive,4
dare,4
nurtured,4
himself,4
serve,4
meet,4
make,4
hymns,4
ought,4
hopes,4
pure,4
appearance,4
sight,4
save,4
immortal,3
kept,3
marriage,3
viper,3
charge,3
offspring,3
whatever,3
bitter,3
virgins,3
brings,3
concealed,3
entrance,3
reveal,3
get,3
mighty,3
second,3
better,3
macrai,3
anything,3
round,3
reason,3
dance,3
altars,3
victim,3
myrtle,3
deadly,3
shield,3
rejoice,3
ago,3
killing,3
friend,3
music,3
apart,3
aged,3
known,3
contest,3
asia,3
entering,3
flight,3
shared,3
word,3
looking,3
forced,3
breed,3
parnassus,3
halls,3
wished,3
beds,3
nourished,3
leisure,3
torches,3
olive,3
advice,3
throughout,3
lost,3
catch,3
very,3
hostile,3
search,3
leaps,3
sides,3
great,3
talk,3
aegis,3
table,3
unwilling,3
age,3
foreign,3
seem,3
seize,3
means,3
hades,3
heart,3
beasts,3
grief,3
libation,3
creature,3
perish,3
still,3
happened,3
cruel,3
flame,3
driven,3
doing,3
speech,3
cry,3
fall,3
gates,3
taking,3
boughs,3
true,3
wove,3
wretched,3
isnt,3
astray,3
bastard,3
again,3
wronged,3
ascribe,3
giving,3
says,3
service,3
sisters,3
lyre,3
queen,3
myself,3
temples,3
turned,3
mourning,3
trophonius,3
aeolus,3
holding,3
enough,3
chosen,3
walls,3
crown,3
gorgons,3
wise,3
matters,3
pan,3
outside,3
cover,3
brother,3
course,3
sword,3
dedicated,3
suppliant,3
unexpected,3
young,3
love,3
swift,3
trusted,3
girls,3
ally,3
midst,3
further,3
last,3
fire,3
family,3
benefit,3
glorious,3
steps,3
base,3
raised,3
high,3
voice,3
matter,3
persuaded,3
prophecy,3
earthborn,3
creusas,3
begin,3
wear,3
attendants,3
saved,3
stoning,3
pleasures,3
preparing,3
sing,3
parents,3
cecrops,3
foreigner,3
whenever,3
sends,3
stands,3
maidens,3
stop,3
try,3
afraid,3
loves,2
roof,2
moderate,2
form,2
having,2
appeared,2
seated,2
free,2
cries,2
everyone,2
spread,2
escaped,2
winged,2
interpreter,2
encounter,2
tree,2
bowls,2
filled,2
blessings,2
mouth,2
watery,2
cheeks,2
need,2
stepmothers,2
cowardly,2
burning,2
sign,2
lover,2
hair,2
tokens,2
doors,2
unwillingly,2
weave,2
subject,2
endure,2
mans,2
treachery,2
pleasant,2
occasion,2
fleeing,2
farewell,2
prosperity,2
powerless,2
foolish,2
laws,2
thoughts,2
torch,2
caves,2
scarcely,2
trouble,2
flying,2
ruined,2
wave,2
vessels,2
worse,2
plans,2
misery,2
announce,2
sacrificed,2
mournful,2
north,2
discordant,2
understand,2
knowledge,2
treacherous,2
distrust,2
growing,2
childlessness,2
dionysos,2
approach,2
really,2
too,2
woven,2
ancestor,2
everflowing,2
led,2
support,2
bracelet,2
offering,2
stay,2
successful,2
lamented,2
please,2
slow,2
bedded,2
eddies,2
precinct,2
looks,2
moon,2
disease,2
handle,2
certainly,2
fortunes,2
slavery,2
doves,2
allow,2
empty,2
seized,2
towards,2
offerings,2
shore,2
homage,2
crowd,2
cliffs,2
closed,2
appointed,2
deeds,2
changed,2
borne,2
fated,2
actions,2
yoked,2
bloody,2
happiness,2
feet,2
friendly,2
state,2
lot,2
clearly,2
rules,2
three,2
careful,2
prophetic,2
allowed,2
consider,2
respects,2
pledge,2
worthless,2
shot,2
coils,2
adorned,2
road,2
rich,2
throw,2
hosts,2
penalty,2
lives,2
deceived,2
virtue,2
past,2
custom,2
guards,2
deed,2
scepter,2
intend,2
nature,2
passed,2
lawful,2
beams,2
beaks,2
tells,2
makrai,2
poured,2
claim,2
mingled,2
pay,2
held,2
action,2
maiden,2
starry,2
wholly,2
bred,2
beseech,2
dedicate,2
aphrodite,2
central,2
begetting,2
joyful,2
yourself,2
weep,2
athenians,2
finish,2
terrible,2
ordered,2
green,2
wherever,2
mad,2
witness,2
pray,2
hope,2
goods,2
wings,2
knows,2
listen,2
dinner,2
zealous,2
dont,2
sound,2
joins,2
sorrowful,2
pipes,2
whirled,2
milk,2
convicted,2
dedication,2
cause,2
completed,2
celebrated,2
view,2
driving,2
placed,2
below,2
treasures,2
guard,2
ear,2
within,2
serpent,2
hill,2
clothes,2
arrow,2
whoever,2
begot,2
citys,2
mourn,2
sings,2
grasping,2
delphians,2
euboea,2
gain,2
wanted,2
finding,2
craft,2
revealed,2
lake,2
marvel,2
silver,2
punishment,2
wants,2
paying,2
rear,2
settle,2
revered,2
vain,2
raising,2
cried,2
adorn,2
injustice,2
truly,2
happen,2
royal,2
folly,2
seats,2
trying,2
lived,2
herald,2
prophet,2
cling,2
send,2
customs,2
hurled,2
hellenes,2
act,2
seems,2
rushes,2
lack,2
use,2
lords,2
offer,2
wishes,2
accomplish,2
hang,2
concern,2
cloth,2
point,2
prosperous,2
fly,2
obey,2
answer,2
arm,2
grew,2
grown,2
manhood,2
hated,2
swords,2
unknown,2
thinking,2
intent,2
steep,2
show,2
soul,2
surely,2
righteous,2
wellborn,2
possible,2
libations,2
declared,2
rushed,2
insignificant,2
greet,2
fatherland,2
throat,2
struck,2
bitterly,2
aglauros,2
head,2
burned,2
truth,2
line,2
contrivances,2
along,2
cups,2
rank,2
piety,2
harsh,2
suns,2
sweep,2
circle,2
sheep,2
badly,2
cities,2
guide,2
tapestries,2
equal,2
relationship,2
quick,2
stand,2
dark,2
drink,2
singing,2
raise,2
opened,2
transgress,2
burst,2
besides,2
desire,2
sold,2
fitted,2
moist,2
ancestors,2
pitchers,2
shuttle,2
misfortunes,2
wonder,2
staff,2
incense,2
afterwards,2
happens,2
europe,2
womans,2
forbid,2
walk,1
attempt,1
intervening,1
prevents,1
horses,1
breeze,1
deceiving,1
poor,1
countenance,1
consultation,1
conversation,1
succeed,1
allies,1
fourhorse,1
beak,1
rude,1
tomb,1
honey,1
outraged,1
childrenxuthus,1
branch,1
delights,1
informed,1
nourishment,1
ways,1
funeral,1
achaeus,1
remains,1
ministry,1
awaits,1
willingly,1
unworthily,1
lightning,1
unbidden,1
fulfil,1
procession,1
alpheus,1
meion,1
nativeborn,1
memory,1
dry,1
explain,1
