woord,frequency
the,517
and,459
to,295
of,281
you,281
dionysus,276
i,259
a,197
,151
xanthias,135
for,133
in,132
that,128
but,121
this,120
he,108
euripides,105
me,100
it,99
aeschylus,94
what,87
my,87
with,85
by,81
is,80
his,79
so,79
not,79
now,78
on,70
your,70
if,68
be,66
will,61
then,58
do,54
aeacus,54
heracles,53
well,53
no,53
who,53
one,52
him,51
at,51
all,50
as,49
come,48
up,47
chorus,47
from,47
have,46
just,44
was,44
here,44
how,43
go,41
or,41
say,38
dont,38
take,37
we,37
when,34
are,34
did,34
our,34
ill,32
out,32
like,30
where,29
they,29
them,29
its,27
down,27
zeus,26
first,26
again,26
has,26
koax,26
their,25
oh,25
see,25
which,24
right,24
why,24
since,24
these,24
get,24
man,24
good,23
too,23
tell,22
god,22
o,22
there,21
some,21
youll,21
thats,21
speak,21
im,20
can,20
let,20
us,20
more,20
flask,20
should,19
got,19
away,19
youre,19
didnt,19
little,19
thing,19
before,19
an,19
charon,19
off,18
hear,18
other,18
would,18
know,17
never,17
bring,17
think,17
she,17
two,16
even,16
dance,16
really,15
gods,15
hell,15
once,15
her,15
most,14
about,14
great,14
may,14
men,14
could,14
oil,14
make,13
fellow,13
yes,13
ever,13
else,12
son,12
stop,12
word,12
than,12
noble,12
much,12
songs,12
iacchus,12
words,12
because,12
whats,11
someone,11
myself,11
another,11
into,11
does,11
were,11
going,11
back,11
art,11
time,11
way,11
wont,11
am,11
put,11
sit,11
pandokeutria,11
city,11
master,10
must,10
cant,10
ive,10
sure,10
woman,10
hes,10
only,10
himself,10
long,10
look,10
brekekekex,10
done,10
pluto,10
plathane,10
those,9
want,9
nothing,9
yourself,9
doing,9
any,9
doesnt,9
mind,9
over,9
apollo,9
made,9
after,9
poet,9
youve,9
ones,9
slave,9
whom,9
frogs,9
song,9
fine,9
had,9
lost,9
each,9
land,9
something,9
prologues,9
hand,8
anything,8
id,8
demeter,8
dead,8
clever,8
tragedy,8
swear,8
own,8
nor,8
very,8
ah,8
around,8
people,8
hold,8
best,8
said,8
sacred,8
citizens,8
poets,8
goddess,8
came,8
both,8
many,8
same,8
things,8
please,7
wish,7
carry,7
door,7
place,7
boy,7
mean,7
heart,7
bad,7
test,7
find,7
took,7
yet,7
pay,7
fathers,7
sir,7
whos,7
corpse,7
save,7
love,7
day,7
beat,7
state,7
against,7
advice,7
recite,7
crash,7
such,6
without,6
might,6
wretch,6
still,6
while,6
try,6
clear,6
case,6
least,6
holy,6
seems,6
theres,6
quick,6
hands,6
fair,6
lets,6
poseidon,6
anyone,6
sing,6
been,6
through,6
call,6
old,6
dances,6
show,6
inside,6
dancing,6
side,6
wouldnt,6
guy,6
awful,6
eyes,6
hit,6
judge,6
used,6
hed,6
phrases,6
death,6
choose,6
hermes,6
enter,5
foot,5
lion,5
always,5
audience,5
quite,5
saying,5
takes,5
stuff,5
wretched,5
feel,5
help,5
turn,5
porter,5
ships,5
big,5
shall,5
race,5
left,5
sophocles,5
aside,5
run,5
friends,5
surely,5
tongue,5
teach,5
torch,5
light,5
theyre,5
strife,5
sea,5
hurry,5
hey,5
pull,5
row,5
muses,5
lyre,5
face,5
use,5
yours,5
quiet,5
start,5
being,5
onward,5
grant,5
ran,5
give,5
also,5
every,5
terms,5
fight,5
thought,5
getting,5
taught,5
return,5
father,5
aid,5
opinion,5
skin,4
club,4
donkey,4
laugh,4
hard,4
course,4
catch,4
alas,4
poor,4
joke,4
bear,4
isnt,4
sake,4
join,4
heres,4
notice,4
need,4
ask,4
board,4
battle,4
soup,4
thousand,4
besides,4
easy,4
wheres,4
mine,4
babbling,4
single,4
went,4
top,4
lake,4
boat,4
obols,4
everywhere,4
baggage,4
wait,4
maybe,4
wool,4
fought,4
oar,4
hurt,4
meet,4
contest,4
behind,4
whole,4
torches,4
listen,4
full,4
keep,4
lead,4
blessed,4
stand,4
rites,4
sails,4
send,4
warn,4
twice,4
play,4
saw,4
girls,4
knock,4
villain,4
near,4
coward,4
act,4
servant,4
three,4
soon,4
new,4
die,4
everything,4
claim,4
sense,4
wits,4
mistakes,4
ways,4
throne,4
high,4
says,4
child,4
ye,4
whatever,4
sort,4
prove,4
achilles,4
folks,4
tophlattothrattophlattothrat,4
under,4
dressed,3
jokes,3
except,3
either,3
funny,3
pack,3
unless,3
crack,3
weight,3
ho,3
lose,3
bite,3
cleisthenes,3
guess,3
fun,3
brother,3
ten,3
times,3
far,3
mortal,3
alive,3
superior,3
creative,3
phrase,3
hall,3
crazy,3
business,3
dare,3
starting,3
hang,3
hemlock,3
spectators,3
cry,3
terrible,3
wild,3
whoever,3
next,3
mysteries,3
beg,3
coming,3
enough,3
less,3
true,3
lay,3
mentioned,3
happened,3
set,3
sitting,3
stretch,3
fooling,3
children,3
sweet,3
feast,3
bother,3
melodies,3
suffer,3
l,3
knows,3
front,3
kind,3
fire,3
preserve,3
weve,3
storm,3
fear,3
learn,3
meadow,3
head,3
feet,3
rite,3
makes,3
private,3
ancestral,3
festival,3
nobly,3
pass,3
airs,3
serious,3
partner,3
follow,3
lover,3
rags,3
glance,3
girl,3
teeth,3
rear,3
arrived,3
pick,3
night,3
enjoy,3
temper,3
mighty,3
whatd,3
upon,3
change,3
wit,3
taking,3
theramenes,3
pot,3
troubles,3
cast,3
torture,3
tie,3
twist,3
vinegar,3
offer,3
whichever,3
blow,3
idea,3
watch,3
already,3
verse,3
themselves,3
making,3
muse,3
honorable,3
cleophon,3
masters,3
wasnt,3
anger,3
life,3
lest,3
finest,3
proper,3
sons,3
drink,3
war,3
chair,3
lord,3
better,3
poetry,3
scales,3
means,3
trouble,3
utterances,3
boys,3
lines,3
lyrics,3
equal,3
pray,3
power,3
prayer,3
verses,3
fooled,3
swollen,3
giving,3
cephisophon,3
nonsense,3
understand,3
hows,3
answer,3
consider,3
useful,3
arms,3
subterranean,3
savior,3
criticize,3
home,3
line,3
grab,3
woes,3
persuasion,3
saved,3
quickly,3
heavily,2
pressed,2
annoying,2
strain,2
ease,2
load,2
phrynichus,2
stupid,2
strained,2
utter,2
dionysos,2
walk,2
burden,2
carried,2
absolutely,2
holding,2
unhappy,2
navy,2
different,2
scoundrel,2
afraid,2
seeing,2
thrown,2
naval,2
twelve,2
hostile,2
suddenly,2
craving,2
small,2
desire,2
possible,2
iophon,2
decent,2
lamented,2
gone,2
blest,2
drop,2
suffering,2
tragic,2
further,2
looked,2
airy,2
trash,2
repeat,2
completely,2
found,2
cerberus,2
rest,2
roads,2
bugs,2
cold,2
immediately,2
ceramicus,2
observe,2
below,2
brain,2
road,2
fare,2
introduced,2
beasts,2
frighten,2
scared,2
everflowing,2
dung,2
mother,2
jaw,2
swore,2
