woord,tfidf
some,0.019122034603177428
dictynna,0.013678723324717104
take,0.013678723324717104
artemis,0.013678723324717104
her,0.012701059649740764
holy,0.009561017301588714
hounds,0.009561017301588714
the,0.009388560801192446
kept,0.009119148883144737
pure,0.009119148883144737
demeters,0.009119148883144737
grain,0.009119148883144737
wishing,0.009119148883144737
grief,0.009119148883144737
lifes,0.009119148883144737
craft,0.009119148883144737
journeysend,0.009119148883144737
possessed,0.009119148883144737
girl,0.009119148883144737
wits,0.009119148883144737
wander,0.009119148883144737
spell,0.009119148883144737
hecate,0.009119148883144737
august,0.009119148883144737
corybantes,0.009119148883144737
cybele,0.009119148883144737
being,0.009119148883144737
worn,0.009119148883144737
fault,0.009119148883144737
tainted,0.009119148883144737
failure,0.009119148883144737
offer,0.009119148883144737
batter,0.009119148883144737
also,0.009119148883144737
haunts,0.009119148883144737
lake,0.009119148883144737
passes,0.009119148883144737
dry,0.009119148883144737
stands,0.009119148883144737
bewitches,0.009119148883144737
over,0.009072185464100546
under,0.007152313689064967
down,0.007152313689064967
are,0.007080751220518684
chorus,0.0068628433718806465
mountain,0.0068628433718806465
wild,0.0068628433718806465
body,0.006374011534392476
because,0.006374011534392476
secret,0.006374011534392476
ground,0.006374011534392476
death,0.006374011534392476
against,0.006374011534392476
hold,0.006374011534392476
mind,0.006374011534392476
upon,0.006374011534392476
swift,0.006374011534392476
men,0.006374011534392476
sea,0.006374011534392476
to,0.006186157858215717
has,0.0054902746975045175
beasts,0.0054902746975045175
he,0.0054902746975045175
no,0.005443311278460327
she,0.005443311278460327
or,0.005057679443227631
you,0.0048605526028837765
unhappy,0.004768209126043311
dear,0.004768209126043311
mother,0.004768209126043311
things,0.004768209126043311
seen,0.004768209126043311
forth,0.004768209126043311
earth,0.004768209126043311
mouth,0.004559574441572368
food,0.004559574441572368
eddies,0.004559574441572368
surf,0.004559574441572368
dewy,0.004559574441572368
poplar,0.004559574441572368
trees,0.004559574441572368
uncut,0.004559574441572368
meadow,0.004559574441572368
nurse,0.004559574441572368
yours,0.004559574441572368
wont,0.004559574441572368
stop,0.004559574441572368
saying,0.004559574441572368
hurling,0.004559574441572368
mounted,0.004559574441572368
phaedra,0.004559574441572368
sung,0.004559574441572368
wood,0.004559574441572368
pinewood,0.004559574441572368
tread,0.004559574441572368
close,0.004559574441572368
dappled,0.004559574441572368
deer,0.004559574441572368
want,0.004559574441572368
hair,0.004559574441572368
javelin,0.004559574441572368
thessaly,0.004559574441572368
morrows,0.004559574441572368
happiness,0.004559574441572368
longer,0.004559574441572368
untroubled,0.004559574441572368
expectation,0.004559574441572368
look,0.004559574441572368
greeces,0.004559574441572368
fairest,0.004559574441572368
star,0.004559574441572368
sped,0.004559574441572368
wrath,0.004559574441572368
sands,0.004559574441572368
citys,0.004559574441572368
shore,0.004559574441572368
thickets,0.004559574441572368
mount,0.004559574441572368
behind,0.004559574441572368
pair,0.004559574441572368
enetic,0.004559574441572368
horses,0.004559574441572368
racecourse,0.004559574441572368
mere,0.004559574441572368
racing,0.004559574441572368
steeds,0.004559574441572368
slept,0.004559574441572368
frame,0.004559574441572368
hearts,0.004559574441572368
manycolored,0.004559574441572368
wings,0.004559574441572368
surrounding,0.004559574441572368
pinions,0.004559574441572368
eros,0.004559574441572368
flies,0.004559574441572368
loudroaring,0.004559574441572368
frenzied,0.004559574441572368
darts,0.004559574441572368
goldgleaming,0.004559574441572368
whelps,0.004559574441572368
brings,0.004559574441572368
blazing,0.004559574441572368
sun,0.004559574441572368
looks,0.004559574441572368
likewise,0.004559574441572368
mortal,0.004559574441572368
aphrodite,0.004559574441572368
alone,0.004559574441572368
sway,0.004559574441572368
appears,0.004559574441572368
skene,0.004559574441572368
noblyborn,0.004559574441572368
aegeus,0.004559574441572368
of,0.004381328373889809
my,0.004237722106202761
land,0.004117706023128388
is,0.0040461435545821045
god,0.0036288741856402183
do,0.0036288741856402183
these,0.0036288741856402183
words,0.0036288741856402183
and,0.0033381549515350923
taking,0.003187005767196238
spring,0.003187005767196238
rest,0.003187005767196238
lying,0.003187005767196238
such,0.003187005767196238
crowd,0.003187005767196238
madness,0.003187005767196238
mean,0.003187005767196238
kill,0.003187005767196238
running,0.003187005767196238
after,0.003187005767196238
let,0.003187005767196238
fly,0.003187005767196238
past,0.003187005767196238
golden,0.003187005767196238
whole,0.003187005767196238
fathers,0.003187005767196238
slew,0.003187005767196238
company,0.003187005767196238
more,0.003187005767196238
shall,0.003187005767196238
about,0.003187005767196238
music,0.003187005767196238
never,0.003187005767196238
salt,0.003187005767196238
whose,0.003187005767196238
winged,0.003187005767196238
honored,0.003187005767196238
above,0.003187005767196238
listen,0.003187005767196238
order,0.003187005767196238
what,0.0030346076659365784
his,0.0030346076659365784
your,0.002825148070801841
go,0.0027451373487522588
o,0.0027451373487522588
in,0.0026512105106638786
days,0.0023841045630216555
how,0.0023841045630216555
shout,0.0023841045630216555
life,0.0023841045630216555
beyond,0.0023841045630216555
another,0.0023841045630216555
our,0.0023841045630216555
beneath,0.0023841045630216555
them,0.0023841045630216555
those,0.0023841045630216555
for,0.002209342092219899
that,0.002209342092219899
where,0.0020230717772910523
all,0.0020230717772910523
have,0.0020230717772910523
three,0.0018144370928201091
child,0.0018144370928201091
before,0.0018144370928201091
through,0.0018144370928201091
him,0.0018144370928201091
feet,0.0018144370928201091
with,0.0014604427912966028
on,0.0014125740354009205
me,0.0013725686743761294
gods,0.0013725686743761294
we,0.0013725686743761294
son,0.0013725686743761294
a,0.0013256052553319393
i,0.0010431734223547164
now,0.0010115358886455261
one,0.0010115358886455261
by,0.0008837368368879595
it,0.00044186841844397976
pan,0.00041726936894188654
but,0.00020863468447094327
